"Data item name","Data item Description","Composite data item (1)","Composite data item - level (2)","Data Item Type","Data type","Cardinality","Default value","Values	Validation","Associated score","Allow multiple","Help text","Read only","Include item","Data item (SNOMED)","Is the data constraining?","SNOMED codes or subset ID","Is post-coordination allowed?","Care Record Element","Specific conditional behaviour","National data sets","Calculation","Annotation","Archetype Id","Section ID"
"Examination request details","Details concerning a single examination requested. Note: Usually there is one examination request for each result, however in some circumstances multiple examination requests may be represented using a single Imaging examination result archetype.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]","112"
"Requester order identifier","The local identifier assigned to the order by the order requester. Equivalent to the HL7 Placer Order Identifier.","No","","Primary","IDENTIFIER","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0028]","112"
"Examination requested name","Identification of imaging examination or procedure requested, where the examination requested differs from the examination actually performed.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0029]","112"
"Receiver order identifier","The local identifier assigned to the examination order by the order filler, usually by the Radiology Information System (RIS). Usually equivalent to the HL7 Filler Order Number.","No","","Primary","IDENTIFIER","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0031]","112"
"DICOM study identifier","Unique identifier of this study allocated by the imaging service.","No","","Primary","URI","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0032]","112"
"Report identifier","The local identifier given to the imaging examination report.","No","","Primary","IDENTIFIER","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0033]","112"
"Image details","Images referred to, or provided, to assist clinical understanding of the examination. If attached image is in DICOM format, all the fields below should be populated so the values are available to software that does not process DICOM images.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0034]","112"
"Image identifier","Unique identifier of this image allocated by the imaging service (often the DICOM image instance UID).","No","","Primary","IDENTIFIER","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0034]/items[at0035]","112"
"DICOM series identifier","Unique identifier of this series allocated by the imaging service.","No","","Primary","IDENTIFIER","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0034]/items[at0036]","112"
"View","The name of the imaging view e.g Lateral or Antero-posterior (AP). Coding using a terminology is desirable, where possible.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0034]/items[at0037]","112"
"Position","Description of the subject of care's positon when the image was performed.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0034]/items[at0038]","112"
"Image DateTime","Specific date/time the imaging examination was performed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0034]/items[at0039]","112"
"Image","An attached or referenced image of a current view.","No","","Primary","MULTIMEDIA","[0..1]",""," |  |  |  |  | ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0027]/items[at0034]/items[at0040]","112"
"Compared image details","Details of previous images used for comparison.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0042]","112"
"Requester order identifier","The local identifier assigned to the order by the order requester. Equivalent to the HL7 Placer Order Identifier.","No","","Primary","IDENTIFIER","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0042]/items[at0028]","112"
"DICOM study identifier","Unique identifier of this study allocated by the imaging service.","No","","Primary","URI","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0042]/items[at0032]","112"
"Image identifier","Unique identifier of this image allocated by the imaging service (often the DICOM image instance UID).","No","","Primary","IDENTIFIER","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0042]/items[at0035]","112"
"DICOM series identifier","Unique identifier of this series allocated by the imaging service.","No","","Primary","IDENTIFIER","[0..1]","","","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0042]/items[at0036]","112"
"View","The name of the imaging view e.g Lateral or Antero-posterior (AP). Coding using a terminology is desirable, where possible.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0042]/items[at0037]","112"
"Position","Description of the subject of care's positon when the image was performed.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0042]/items[at0038]","112"
"Image DateTime","Specific date/time the imaging examination was performed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0042]/items[at0039]","112"
"Image","An attached or referenced image of a current view.","No","","Primary","MULTIMEDIA","[0..1]",""," |  |  |  |  | ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-OBSERVATION.imaging_exam.v1/protocol[at0025]/items[at0042]/items[at0040]","112"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]","114"
"Synopsis","The summary, assessment, conclusions or evaluation of the clinical findings.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]/items[at0002]","114"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]","116"
"Synopsis","The summary, assessment, conclusions or evaluation of the clinical findings.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]/items[at0002]","116"
